start_index,stop_index,signal_class
289026,293435,N
319825,324150,V
320633,324998,N
320998,325305,V
321305,325865,N
321865,326249,N
490337,494745,N
495478,499753,V
498925,503776,N
500550,504950,N
510055,514953,N
515637,520620,N
516620,521027,A
517027,521295,A
523783,528066,A
524066,528508,A
525779,530233,A
526233,531065,N
527065,531390,V
527390,532289,N
528289,532657,A
528657,533333,A
529333,534764,N
530764,535164,A
531164,535789,A
531789,536068,V
532068,536708,N
532708,537142,N
533142,537531,N
533531,537932,N
533932,538380,N
534380,538798,N
552618,557911,N
558165,562575,V
560815,565469,N
575953,580379,A
576379,581129,N
577129,581520,V
577520,582369,N
578369,582710,A
578710,583169,N
579169,583560,N
579560,583953,N
579953,584336,N
580336,584752,N
580752,585484,N
581484,585951,N
595407,600148,N
596148,600590,V
596590,601366,N
597366,601724,A
597724,602165,N
598956,603328,N
599328,604005,N
600556,605380,N
601380,605797,V
601797,606607,N
602607,607031,N
603031,607295,V
603295,607889,N
603889,608215,V
604215,608639,N
604639,609043,N
605043,609713,N
605713,610305,N
606305,610671,A
606671,611303,A
617666,622067,N
618875,623265,N
619657,624006,N
620006,624464,N
620464,624814,N
620814,625283,N
621283,625714,A
621714,626522,N
622522,627805,N
623805,628156,A
624156,629054,N
630927,635751,N
631751,636108,N
632108,636501,N
632501,636943,N
632943,637326,N
633326,637750,N
633750,638117,V
634117,638942,N
635335,639753,N
636107,640574,N
636574,640983,N
636983,641257,V
641690,646099,A
642099,646390,A
642390,647506,N
649382,653823,A
649823,654630,N
650630,655047,V
651047,655860,N
651860,656247,A
652247,656623,A
652623,657489,N
653489,657884,N
653884,658306,A
654306,658713,N
654713,659448,N
655448,659897,N
655897,660289,N
656289,660697,N
656697,661048,V
657048,661881,N
657881,662276,N
658276,662673,A
658673,663039,V
659039,663864,N
659864,664211,A
660211,664629,A
660629,664972,N
660972,665679,N
661679,666272,N
662272,666647,V
662647,667432,N
663432,667857,V
663857,668655,N
664655,669055,V
665055,669689,N
665689,670230,N
666230,670507,A
666507,670919,A
671888,676246,A
672246,676664,N
672664,677089,N
673089,677512,A
673512,677880,V
673880,679197,N
675197,679479,A
675479,680322,N
676322,681213,N
677213,681847,N
677847,682363,N
678363,682855,N
678855,683506,N
679506,684322,N
680322,684730,A
680730,685138,A
681138,685671,N
681671,686488,N
682488,686945,N
682945,687246,A
683246,687681,N
683681,688079,N
684079,688921,N
684921,689550,N
685550,690139,N
686139,690530,N
686530,690930,N
686930,691287,N
687287,691557,N
687557,691968,N
687968,692546,N
688546,692803,V
688803,693227,N
689227,693779,N
689779,694495,N
690495,695504,N
691504,695921,A
691921,696329,N
692329,696687,N
692687,696948,V
693729,698133,N
694133,698700,N
694700,699112,N
695112,699480,A
695480,699795,V
699902,704527,N
700527,704928,V
700928,705521,N
701521,705877,N
701877,706140,V
702140,706675,N
702675,707120,N
703120,707544,N
703544,708163,N
704163,708568,V
704568,709569,N
705569,709960,A
705960,710635,A
706635,711744,N
707744,712309,N
708309,712701,A
708701,713352,N
709352,714158,N
710158,715142,N
711142,715542,A
711542,716192,N
712192,716768,N
712768,717575,N
713575,718204,N
720248,724684,A
720684,725089,V
721089,725931,N
721931,726305,A
727214,731495,A
727495,732104,N
732370,737170,N
733170,737554,A
733554,738353,N
734353,738955,N
734955,739545,N
735545,739919,N
735919,740277,N
736277,740670,N
736670,741314,N
737314,741769,N
737769,742459,N
738459,743018,N
739018,743819,N
739819,744077,A
740077,744636,N
740636,745036,V
741036,745835,N
741835,746277,A
742277,746644,A
742644,747718,N
743718,748277,N
744277,748660,V
744660,749502,N
745502,749868,A
745868,750669,A
746669,752326,N
748326,752734,A
748734,753375,A
749375,754184,N
750184,754584,V
751391,755795,V
751795,756784,N
752784,757159,A
753159,757468,A
753468,758184,N
754184,759184,N
755184,759592,A
755592,759917,V
