Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,1007,0,0,1000,2,5,0,2,1005,0,99.80139026812313,99.80139026812313,0.0,0,5,1002,0,99.50347567030785,99.50347567030785,0.0
212,9063,12,48,8687,115,321,12,103,9008,0,98.87098542146224,98.86949840851717,100.0,48,273,8802,0,97.00756330154555,96.99173553719008,100.0
216,6906,0,1,6820,39,48,0,39,6868,0,99.43535543651369,99.43535543651369,0.0,1,47,6859,0,99.31953091067034,99.31943237764263,100.0
218,7474,0,3,7456,1,20,0,1,7476,0,99.98662565199946,99.98662565199946,0.0,3,17,7457,0,99.7726360839909,99.77254482204977,100.0
219,5128,0,1,5094,7,28,0,7,5122,0,99.86352115422109,99.86352115422109,0.0,1,27,5101,0,99.4735815948528,99.47347893915757,100.0
230,5235,0,2,5230,0,7,0,0,5237,0,100.0,100.0,0.0,2,5,5230,0,99.90452549169372,99.90448901623687,100.0
281,3313,3,27,2938,15,390,3,12,3328,0,99.64104098115465,99.64071856287426,100.0,27,363,2953,0,89.14148967992821,89.05307599517491,100.0
401,7004,0,1,6963,13,29,0,13,6992,0,99.81441827266238,99.81441827266238,0.0,1,28,6976,0,99.60028551034975,99.60022844089092,100.0
403,3827,0,0,3823,4,0,0,4,3823,0,99.89547948784949,99.89547948784949,0.0,0,0,3827,0,100.0,100.0,0.0
437,520,0,0,504,8,8,0,8,512,0,98.46153846153847,98.46153846153847,0.0,0,8,512,0,98.46153846153847,98.46153846153847,0.0
439,9828,0,3,9776,4,51,0,4,9827,0,99.95931237920863,99.95931237920863,0.0,3,48,9780,0,99.51174855050351,99.51159951159951,100.0
443,11543,23,220,10228,312,1246,23,289,11474,0,97.54793823180044,97.5431437558446,100.0,220,1026,10540,0,91.29475649075174,91.12917171018502,100.0
444,10475,0,6,10444,0,37,0,0,10481,0,100.0,100.0,0.0,6,31,10444,0,99.70422669592595,99.70405727923628,100.0
451,1787,0,1,1731,17,40,0,17,1771,0,99.04921700223713,99.04921700223713,0.0,1,39,1748,0,97.81879194630872,97.81757134862899,100.0
452,10124,23,380,7482,271,2774,23,248,10256,0,97.64415313004655,97.63899466869765,100.0,380,2394,7753,0,77.25847819891708,76.40681974967971,100.0
454,1837,9,81,1458,109,360,9,100,1818,0,94.81058640373638,94.78623566214807,100.0,81,279,1567,0,85.5215360664245,84.88624052004333,100.0
476,2756,0,16,2696,16,60,0,16,2756,0,99.42279942279943,99.42279942279943,0.0,16,44,2712,0,98.4126984126984,98.4034833091437,100.0
482,5524,0,51,5301,5,269,0,5,5570,0,99.91031390134529,99.91031390134529,0.0,51,218,5306,0,96.08968609865471,96.05358435916003,100.0
484,8688,2,18,8587,14,107,2,12,8694,0,99.86219568213137,99.86216402481047,100.0,18,89,8601,0,98.97795130914102,98.97583429228999,100.0
485,6757,3,134,6238,26,630,3,23,6868,0,99.66637655932695,99.66623131620955,100.0,134,496,6264,0,92.80533797505078,92.66272189349112,100.0
