Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,1004,0,0,962,17,25,0,17,987,0,98.30677290836654,98.30677290836654,0.0,0,25,979,0,97.50996015936255,97.50996015936255,0.0
212,9063,12,48,8837,107,179,6,101,9010,6,98.82714019511127,98.89144989573043,50.0,46,133,8942,2,98.52022361065438,98.53443526170798,95.83333333333334
216,6899,0,1,6776,21,103,0,21,6879,0,99.69565217391305,99.69565217391305,0.0,1,102,6797,0,98.52173913043478,98.52152485867516,100.0
218,7472,0,3,7447,4,24,0,4,7471,0,99.94648829431438,99.94648829431438,0.0,3,21,7451,0,99.7190635451505,99.71895074946467,100.0
219,5120,0,1,5106,5,10,0,5,5116,0,99.90236281976178,99.90236281976178,0.0,0,10,5110,1,99.78519820347589,99.8046875,0.0
230,5235,0,2,5230,0,7,0,0,5237,0,100.0,100.0,0.0,2,5,5230,0,99.90452549169372,99.90448901623687,100.0
281,3313,3,27,3167,15,161,3,12,3328,0,99.64104098115465,99.64071856287426,100.0,24,137,3179,3,95.8121447801376,95.86851628468034,88.88888888888889
401,6968,0,1,6899,10,60,0,10,6959,0,99.85650738986942,99.85650738986942,0.0,1,59,6909,0,99.15339360022959,99.1532721010333,100.0
403,3823,0,0,3819,0,4,0,0,3823,0,100.0,100.0,0.0,0,4,3819,0,99.89537012817159,99.89537012817159,0.0
437,516,0,0,485,16,15,0,16,500,0,96.89922480620154,96.89922480620154,0.0,0,15,501,0,97.09302325581395,97.09302325581395,0.0
439,9809,0,3,9722,44,46,0,44,9768,0,99.55156950672645,99.55156950672645,0.0,1,45,9764,2,99.5209947003669,99.54123763890304,33.33333333333333
443,11543,23,220,10264,333,1189,20,313,11450,3,97.3188528762939,97.33911417155487,86.95652173913044,187,1002,10564,33,91.2183947055829,91.33667646550234,85.0
444,10475,0,6,10460,2,19,0,2,10479,0,99.98091785135006,99.98091785135006,0.0,6,13,10462,0,99.8759660337754,99.87589498806683,100.0
451,1776,0,1,1710,6,61,0,6,1771,0,99.66235227912212,99.66235227912212,0.0,1,60,1716,0,96.62352279122116,96.62162162162163,100.0
452,10113,23,380,7563,721,2232,23,698,9795,0,93.36249524534044,93.34794624988088,100.0,379,1853,8283,1,82.36972232788132,81.71862667719022,99.73684210526315
454,329,0,25,247,2,105,0,2,352,0,99.43502824858757,99.43502824858757,0.0,24,81,248,1,76.8361581920904,75.37993920972644,96.0
476,1349,0,0,1264,19,66,0,19,1330,0,98.59154929577466,98.59154929577466,0.0,0,66,1283,0,95.10748702742772,95.10748702742772,0.0
482,2026,0,30,1912,19,125,0,19,2037,0,99.07587548638132,99.07587548638132,0.0,28,97,1929,2,95.18482490272373,95.21224086870681,93.33333333333333
484,8359,2,17,8104,112,162,2,110,8266,0,98.68703747911196,98.68672397325693,100.0,4,158,8203,13,97.95894008116495,98.11027389068293,23.52941176470588
485,6758,3,134,6188,39,668,3,36,6856,0,99.4778825235678,99.47765525246662,100.0,122,546,6215,12,91.90717911530093,91.9242715574619,91.04477611940298
