Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,1005,0,0,989,1,15,0,1,1004,0,99.90049751243781,99.90049751243781,0.0,0,15,990,0,98.50746268656717,98.50746268656717,0.0
212,9063,12,48,8831,120,172,6,114,8997,6,98.68464320947056,98.74876522884426,50.0,45,127,8948,3,98.57503014359311,98.60055096418733,93.75
216,6903,0,1,6652,103,149,0,103,6801,0,98.50811123986095,98.50811123986095,0.0,1,148,6755,0,97.85631517960603,97.85600463566566,100.0
218,7474,0,3,7397,60,20,0,60,7417,0,99.1975391199679,99.1975391199679,0.0,2,18,7456,1,99.74588738798984,99.75916510569975,66.66666666666666
219,5124,0,1,5059,19,47,0,19,5106,0,99.62926829268292,99.62926829268292,0.0,0,47,5077,1,99.06341463414634,99.08274785323967,0.0
230,5235,0,2,5125,90,22,0,90,5147,0,98.28145885048693,98.28145885048693,0.0,2,20,5215,0,99.61810196677487,99.61795606494746,100.0
281,3313,3,27,2761,91,491,3,88,3252,0,97.36763386180077,97.36526946107784,100.0,21,470,2846,6,85.76129225246785,85.82629674306393,77.77777777777779
401,6997,0,1,6720,123,155,0,123,6875,0,98.24235495855959,98.24235495855959,0.0,1,154,6843,0,97.79937124892827,97.79905673860226,100.0
403,3825,0,0,3768,36,21,0,36,3789,0,99.05882352941177,99.05882352941177,0.0,0,21,3804,0,99.45098039215686,99.45098039215686,0.0
437,514,0,0,443,26,45,0,26,488,0,94.94163424124513,94.94163424124513,0.0,0,45,469,0,91.24513618677042,91.24513618677042,0.0
439,9825,0,3,9754,17,57,0,17,9811,0,99.82702482702483,99.82702482702483,0.0,3,54,9771,0,99.45054945054946,99.45038167938931,100.0
443,11543,23,220,10464,348,974,12,336,11427,11,97.05582894960122,97.1435858199439,52.17391304347826,136,838,10728,84,92.17715934159172,92.75462562683728,61.81818181818181
444,10475,0,6,10407,8,66,0,8,10473,0,99.92367140540026,99.92367140540026,0.0,6,60,10415,0,99.42753554050186,99.4272076372315,100.0
451,1787,0,1,1676,84,28,0,84,1704,0,95.30201342281879,95.30201342281879,0.0,1,27,1760,0,98.48993288590604,98.48908785674314,100.0
452,10123,23,380,7621,594,2311,23,571,9932,0,94.5753372601178,94.56345805960203,100.0,377,1934,8212,3,81.59794793843815,80.93830080820028,99.21052631578947
454,1827,9,80,1630,56,230,6,50,1857,3,97.23382045929019,97.37808075511273,66.66666666666666,51,179,1657,29,89.14405010438414,90.25054466230938,63.74999999999999
476,2696,0,15,2312,116,283,0,116,2595,0,95.72113611213574,95.72113611213574,0.0,7,276,2420,8,89.52416082626337,89.76261127596439,46.666666666666664
482,5456,0,48,5135,87,282,0,87,5417,0,98.41933139534885,98.41933139534885,0.0,41,241,5215,7,95.49418604651163,95.58284457478005,85.41666666666666
484,8688,2,18,8543,78,87,0,78,8628,2,99.08130454754249,99.1040661612681,0.0,16,71,8619,2,99.16169039963252,99.18296892980437,88.88888888888889
485,6754,3,134,5967,118,806,3,115,6773,0,98.33115658104774,98.33042973286877,100.0,104,702,6055,30,89.37744884632129,89.61077401213556,77.61194029850746
