Number;Normal;PAC;PVC;pred_Normal;pred_PAC;pred_PVC;tp_PAC;fp_PAC;tn_PAC;fn_PAC;acc_PAC;sp_PAC;sn_PAC;tp_PVC;fp_PVC;tn_PVC;fn_PVC;acc_PVC;sp_PVC;sn_PVC
211;1005;0;0;989;1;15;0;1;1004;0;99.90049751;99.90049751;0;0;15;990;0;98.50746269;98.50746269;0
212;9063;12;48;8831;120;172;6;114;8997;6;98.68464321;98.74876523;50;45;127;8948;3;98.57503014;98.60055096;93.75
216;6903;0;1;6652;103;149;0;103;6801;0;98.50811124;98.50811124;0;1;148;6755;0;97.85631518;97.85600464;100
218;7474;0;3;7397;60;20;0;60;7417;0;99.19753912;99.19753912;0;2;18;7456;1;99.74588739;99.75916511;6,666,666,666,666,660
219;5124;0;1;5059;19;47;0;19;5106;0;99.62926829;99.62926829;0;0;47;5077;1;99.06341463;99.08274785;0
230;5235;0;2;5125;90;22;0;90;5147;0;98.28145885;98.28145885;0;2;20;5215;0;99.61810197;99.61795606;100
281;3313;3;27;2761;91;491;3;88;3252;0;97.36763386;97.36526946;100;21;470;2846;6;85.76129225;85.82629674;7,777,777,777,777,770
401;6997;0;1;6720;123;155;0;123;6875;0;98.24235496;98.24235496;0;1;154;6843;0;97.79937125;97.79905674;100
403;3825;0;0;3768;36;21;0;36;3789;0;99.05882353;99.05882353;0;0;21;3804;0;99.45098039;99.45098039;0
437;514;0;0;443;26;45;0;26;488;0;94.94163424;94.94163424;0;0;45;469;0;91.24513619;91.24513619;0
439;9825;0;3;9754;17;57;0;17;9811;0;99.82702483;99.82702483;0;3;54;9771;0;99.45054945;99.45038168;100
443;11543;23;220;10464;348;974;12;336;11427;11;97.05582895;97.14358582;5,217,391,304,347,820;136;838;10728;84;92.17715934;92.75462563;6,181,818,181,818,180
444;10475;0;6;10407;8;66;0;8;10473;0;99.92367141;99.92367141;0;6;60;10415;0;99.42753554;99.42720764;100
451;1787;0;1;1676;84;28;0;84;1704;0;95.30201342;95.30201342;0;1;27;1760;0;98.48993289;98.48908786;100
452;10123;23;380;7621;594;2311;23;571;9932;0;94.57533726;94.56345806;100;377;1934;8212;3;81.59794794;80.93830081;9,921,052,631,578,940
454;1827;9;80;1630;56;230;6;50;1857;3;97.23382046;97.37808076;6,666,666,666,666,660;51;179;1657;29;89.1440501;90.25054466;6,374,999,999,999,990
476;2696;0;15;2312;116;283;0;116;2595;0;95.72113611;95.72113611;0;7;276;2420;8;89.52416083;89.76261128;46,666,666,666,666,600
482;5456;0;48;5135;87;282;0;87;5417;0;98.4193314;98.4193314;0;41;241;5215;7;95.49418605;95.58284457;8,541,666,666,666,660
484;8688;2;18;8543;78;87;0;78;8628;2;99.08130455;99.10406616;0;16;71;8619;2;99.1616904;99.18296893;8,888,888,888,888,880
485;6754;3;134;5967;118;806;3;115;6773;0;98.33115658;98.33042973;100;104;702;6055;30;89.37744885;89.61077401;7,761,194,029,850,740
;;;;;;;;;;;;;;;;;;;;
Number;tp_PAC;fp_PAC;tn_PAC;fn_PAC;acc_PAC;sp_PAC;;;;Number;tp_PVC;fp_PVC;tn_PVC;fn_PVC;acc_PVC;sp_PVC;;;;
211;0;1;1004;0;99.90049751;99.90049751;;;;211;0;15;990;0;98.50746269;98.50746269;;;;
212;6;114;8997;6;98.68464321;98.74876523;;;;212;45;127;8948;3;98.57503014;98.60055096;;;;
216;0;103;6801;0;98.50811124;98.50811124;;;;216;1;148;6755;0;97.85631518;97.85600464;;;;
218;0;60;7417;0;99.19753912;99.19753912;;;;218;2;18;7456;1;99.74588739;99.75916511;;;;
219;0;19;5106;0;99.62926829;99.62926829;;;;219;0;47;5077;1;99.06341463;99.08274785;;;;
230;0;90;5147;0;98.28145885;98.28145885;;;;230;2;20;5215;0;99.61810197;99.61795606;;;;
281;3;88;3252;0;97.36763386;97.36526946;;;;281;21;470;2846;6;85.76129225;85.82629674;;;;
401;0;123;6875;0;98.24235496;98.24235496;;;;401;1;154;6843;0;97.79937125;97.79905674;;;;
403;0;36;3789;0;99.05882353;99.05882353;;;;403;0;21;3804;0;99.45098039;99.45098039;;;;
437;0;26;488;0;94.94163424;94.94163424;;;;437;0;45;469;0;91.24513619;91.24513619;;;;
439;0;17;9811;0;99.82702483;99.82702483;;;;439;3;54;9771;0;99.45054945;99.45038168;;;;
443;12;336;11427;11;97.05582895;97.14358582;;;;443;136;838;10728;84;92.17715934;92.75462563;;;;
444;0;8;10473;0;99.92367141;99.92367141;;;;444;6;60;10415;0;99.42753554;99.42720764;;;;
451;0;84;1704;0;95.30201342;95.30201342;;;;451;1;27;1760;0;98.48993289;98.48908786;;;;
452;23;571;9932;0;94.57533726;94.56345806;;;;452;377;1934;8212;3;81.59794794;80.93830081;;;;
454;6;50;1857;3;97.23382046;97.37808076;;;;454;51;179;1657;29;89.1440501;90.25054466;;;;
476;0;116;2595;0;95.72113611;95.72113611;;;;476;7;276;2420;8;89.52416083;89.76261128;;;;
482;0;87;5417;0;98.4193314;98.4193314;;;;482;41;241;5215;7;95.49418605;95.58284457;;;;
484;0;78;8628;2;99.08130455;99.10406616;;;;484;16;71;8619;2;99.1616904;99.18296893;;;;
485;3;115;6773;0;98.33115658;98.33042973;;;;485;104;702;6055;30;89.37744885;89.61077401;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;97.96412949;97.97932601;;;;;;;;;95.07338267;95.15973522;;;;
