Sample_Data,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,True_Positive_PAC,False_Positive_PAC,True_Negative_PAC,False_Negative_PAC,Accuracy_PAC,Spesifisity_PAC,sn_PAC,True_Positive_PVC,False_Positive_PVC,True_Negative_PVC,False_Negative_PVC,Accuracy_PVC,Spesifisity_PVC,sn_PVC
211,999,0,0,950,19,30,0,19,980,0,98.1,98.1,0.0,0,30,969,0,97.0,97.0,0.0
212,9063,12,48,8898,78,147,12,66,9045,0,99.28,99.28,100.0,48,99,8976,0,98.91,98.91,100.0
216,6875,0,1,6718,30,128,0,30,6846,0,99.56,99.56,0.0,1,127,6748,0,98.15,98.15,100.0
218,7466,0,3,7436,1,32,0,1,7468,0,99.99,99.99,0.0,3,29,7437,0,99.61,99.61,100.0
219,5101,0,1,5091,0,11,0,0,5102,0,100.0,100.0,0.0,1,10,5091,0,99.8,99.8,100.0
230,5235,0,2,5234,0,3,0,0,5237,0,100.0,100.0,0.0,2,1,5234,0,99.98,99.98,100.0
281,3313,1,27,3151,5,185,1,4,3336,0,99.88,99.88,100.0,27,158,3156,0,95.27,95.23,100.0
401,6765,0,1,6646,7,113,0,7,6759,0,99.9,99.9,0.0,1,112,6653,0,98.34,98.34,100.0
403,3812,0,0,3807,0,5,0,0,3812,0,100.0,100.0,0.0,0,5,3807,0,99.87,99.87,0.0
437,509,0,0,470,5,34,0,5,504,0,99.02,99.02,0.0,0,34,475,0,93.32,93.32,0.0
439,9750,0,3,9676,16,61,0,16,9737,0,99.84,99.84,0.0,3,58,9692,0,99.41,99.41,100.0
443,11543,23,220,10499,253,1034,23,230,11533,0,98.05,98.04,100.0,220,814,10752,0,93.09,92.96,100.0
444,10475,0,6,10467,0,14,0,0,10481,0,100.0,100.0,0.0,6,8,10467,0,99.92,99.92,100.0
451,1396,0,0,1351,3,42,0,3,1393,0,99.79,99.79,0.0,0,42,1354,0,96.99,96.99,0.0
452,10095,23,380,7029,497,2972,23,474,10001,0,95.48,95.47,100.0,380,2592,7526,0,75.31,74.38,100.0
454,89,0,15,67,0,37,0,0,104,0,100.0,100.0,0.0,15,22,67,0,78.85,75.28,100.0
476,1147,0,0,1050,11,86,0,11,1136,0,99.04,99.04,0.0,0,86,1061,0,92.5,92.5,0.0
482,1795,0,27,1676,8,138,0,8,1814,0,99.56,99.56,0.0,27,111,1684,0,93.91,93.82,100.0
484,8062,2,17,7857,57,167,2,55,8024,0,99.32,99.32,100.0,17,150,7914,0,98.14,98.14,100.0
485,6756,3,134,6387,19,487,3,16,6874,0,99.77,99.77,100.0,134,353,6406,0,94.88,94.78,100.0
