Model,Accuracy
bagging_logistic_100.sav,0.7119290954582079
KNN_k-43.sav,0.935979531543757
KNN_k-19.sav,0.9521224714812773
KNN_k-29.sav,0.9446446998289584
logistic_regression.sav,0.4932502155690316
ANN_48_tanh.sav,0.7459677989341702
KNN_k-59.sav,0.9295336641081097
ANN_192_logistic.sav,0.7323834160270274
ANN_12_logistic.sav,0.7119290954582079
KNN_k-75.sav,0.9242045149343397
ANN_96_logistic.sav,0.7247360162842966
KNN_k-53.sav,0.9313854374284382
bagging_logistic_50.sav,0.7119290954582079
KNN_k-79.sav,0.9230736609982613
KNN_k-11.sav,0.9607169613954738
KNN_k-37.sav,0.9391741939131787
KNN_k-41.sav,0.9370114357604286
KNN_k-73.sav,0.9246003138119673
KNN_k-13.sav,0.9579746406004834
KNN_k-39.sav,0.9382836464385169
ANN_24_tanh.sav,0.7365675755905178
ANN_384_tanh.sav,0.719237239020115
ANN_384_relu.sav,0.7365817112647187
ANN_384_logistic.sav,0.7281144424183311
KNN_k-35.sav,0.940389861894463
KNN_k-51.sav,0.9324456129935117
ANN_24_relu.sav,0.7360586913192825
KNN_k-7.sav,0.9674031352925377
KNN_k-61.sav,0.9287703377012566
KNN_k-77.sav,0.9236814949889035
ANN_192_relu.sav,0.7345603098539785
KNN_k-5.sav,0.9720396364304595
KNN_k-49.sav,0.9332796177713696
KNN_k-55.sav,0.930721060740992
KNN_k-3.sav,0.9776090920656461
KNN_k-47.sav,0.9340994868750265
ANN_48_relu.sav,0.7296410952320371
KNN_k-71.sav,0.9252505548252123
KNN_k-23.sav,0.9489560804602576
ANN_192_tanh.sav,0.7307719491681156
KNN_k-57.sav,0.9301132267503499
ANN_12_tanh.sav,0.7485828986613516
ANN_24_logistic.sav,0.7275631511244929
KNN_k-21.sav,0.9507089040611792
ANN_48_logistic.sav,0.7165514609219287
KNN_k-25.sav,0.9472315282077378
KNN_k-69.sav,0.9259856098836634
ANN_12_relu.sav,0.7236899763934241
KNN_k-67.sav,0.9265227655033007
KNN_k-65.sav,0.9271588708423448
bagging_logistic_25.sav,0.7119290954582079
KNN_k-33.sav,0.9416338012241494
KNN_k-31.sav,0.9431039113410514
bagging_logistic_125.sav,0.7119290954582079
ANN_96_relu.sav,0.7283406132055469
KNN_k-63.sav,0.9279363329233988
ANN_96_tanh.sav,0.7455861357307437
KNN_k-45.sav,0.9350607127206932
bagging_logistic_75.sav,0.7119290954582079
KNN_k-17.sav,0.9536773956433852
KNN_k-27.sav,0.9460441315748555
KNN_k-15.sav,0.9557270684025274
KNN_k-9.sav,0.9636713173034788
