Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,985,6,8,0,6,993,0,99.3993993993994,99.3993993993994,0.0,0,8,991,0,99.1991991991992,99.1991991991992,0.0
454,1573,6,54,1486,56,91,0,56,1571,6,96.20330679730557,96.5580823601721,0.0,1,90,1489,53,91.24311083894673,94.30018999366688,1.8518518518518516
482,5275,0,48,4459,296,568,0,296,5027,0,94.43922600037573,94.43922600037573,0.0,40,528,4747,8,89.9304903250047,89.99052132701422,83.33333333333334
281,3310,0,27,120,148,3069,0,148,3189,0,95.56487863350314,95.56487863350314,0.0,26,3043,267,1,8.780341624213365,8.066465256797583,96.29629629629629
218,7474,0,3,7429,6,42,0,6,7471,0,99.91975391199679,99.91975391199679,0.0,0,42,7432,3,99.39815433997593,99.43805191329945,0.0
444,10475,0,6,10396,40,45,0,40,10441,0,99.61835702700124,99.61835702700124,0.0,6,39,10436,0,99.62789810132621,99.62768496420048,100.0
443,11543,23,220,9409,517,1860,9,508,11255,14,95.57101646020702,95.68137379920088,39.130434782608695,146,1714,9852,74,84.82945867978958,85.18070205775548,66.36363636363637
485,6738,3,134,1796,295,4784,3,292,6580,0,95.75272727272728,95.75087310826542,100.0,102,4682,2059,32,31.432727272727274,30.54442960985017,76.11940298507463
484,8673,2,18,8506,60,127,0,60,8631,2,99.28678246865293,99.30963065239902,0.0,1,126,8549,17,98.35499827447372,98.54755043227665,5.555555555555555
212,9063,12,48,8466,279,378,12,267,8844,0,97.07333114107202,97.06947645702996,100.0,42,336,8739,6,96.25123314699113,96.29752066115702,87.5
437,490,0,0,377,56,57,0,56,434,0,88.57142857142857,88.57142857142857,0.0,0,57,433,0,88.36734693877551,88.36734693877551,0.0
219,5109,0,1,5037,23,50,0,23,5087,0,99.54990215264188,99.54990215264188,0.0,0,50,5059,1,99.00195694716243,99.0213348991975,0.0
452,10119,23,380,3187,3094,4241,17,3077,7422,6,70.69948678958373,70.69244689970473,73.91304347826086,304,3937,6205,76,61.86086295381106,61.181226582528105,80.0
401,6982,0,1,6903,9,71,0,9,6974,0,99.87111556637548,99.87111556637548,0.0,1,70,6912,0,98.99756551625376,98.99742194213692,100.0
451,1784,0,1,1607,31,147,0,31,1754,0,98.26330532212884,98.26330532212884,0.0,0,147,1637,1,91.70868347338936,91.76008968609865,0.0
230,5235,0,2,5227,4,6,0,4,5233,0,99.92362039335497,99.92362039335497,0.0,2,4,5231,0,99.92362039335497,99.92359121298949,100.0
439,9821,0,3,9657,68,99,0,68,9756,0,99.30781758957656,99.30781758957656,0.0,0,99,9722,3,98.96172638436482,98.991956012626,0.0
216,6876,0,1,6600,93,184,0,93,6784,0,98.64766613348844,98.64766613348844,0.0,1,183,6693,0,97.33895594009016,97.33856893542757,100.0
476,2540,0,11,1095,303,1153,0,303,2248,0,88.12230497843983,88.12230497843983,0.0,4,1149,1391,7,54.684437475499806,54.76377952755905,36.36363636363637
403,3825,0,0,3813,2,10,0,2,3823,0,99.94771241830065,99.94771241830065,0.0,0,10,3815,0,99.73856209150327,99.73856209150327,0.0
