Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,954,21,24,0,21,978,0,97.8978978978979,97.8978978978979,0.0,0,24,975,0,97.5975975975976,97.5975975975976,0.0
454,1573,6,54,1433,56,144,0,56,1571,6,96.20330679730557,96.5580823601721,0.0,5,139,1440,49,88.48744641763625,91.19696010132996,9.25925925925926
482,5275,0,48,4044,580,699,0,580,4743,0,89.10388878452,89.10388878452,0.0,42,657,4618,6,87.54461769678753,87.54502369668246,87.5
281,3310,0,27,339,147,2851,0,147,3190,0,95.59484566976326,95.59484566976326,0.0,23,2828,482,4,15.133353311357506,14.561933534743202,85.18518518518519
218,7474,0,3,7432,12,33,0,12,7465,0,99.83950782399359,99.83950782399359,0.0,0,33,7441,3,99.51852347198073,99.55846936044955,0.0
444,10475,0,6,10366,46,69,0,46,10435,0,99.56111058105142,99.56111058105142,0.0,6,63,10412,0,99.39891231752695,99.39856801909308,100.0
443,11543,23,220,2346,7809,1631,18,7791,3972,5,33.85372475818768,33.766896199948995,78.26086956521739,138,1493,10073,82,86.63668759545223,87.09147501296904,62.727272727272734
485,6738,3,134,2562,509,3804,3,506,6366,0,92.64,92.63678696158324,100.0,99,3705,3036,35,45.6,45.03782821539831,73.88059701492537
484,8673,2,18,8413,84,196,0,84,8607,2,99.01069826297021,99.03348291335865,0.0,1,195,8480,17,97.56125618313585,97.75216138328531,5.555555555555555
212,9063,12,48,8270,301,552,12,289,8822,0,96.83218239614162,96.82801009768411,100.0,43,509,8566,5,94.36588841389893,94.39118457300275,89.58333333333334
437,490,0,0,64,356,70,0,356,134,0,27.346938775510203,27.346938775510203,0.0,0,70,420,0,85.71428571428571,85.71428571428571,0.0
219,5109,0,1,5020,24,66,0,24,5086,0,99.53033268101761,99.53033268101761,0.0,0,66,5043,1,98.68884540117416,98.7081620669407,0.0
452,10119,23,380,1929,3459,5134,19,3440,7059,4,67.26858011784832,67.23497475950091,82.6086956521739,290,4844,5298,90,53.107774187416844,52.23821731413922,76.31578947368422
401,6982,0,1,6895,16,72,0,16,6967,0,99.77087211800087,99.77087211800087,0.0,0,72,6910,1,98.95460403837892,98.9687768547694,0.0
451,1784,0,1,1619,41,125,0,41,1744,0,97.70308123249299,97.70308123249299,0.0,0,125,1659,1,92.94117647058823,92.99327354260089,0.0
230,5235,0,2,5228,4,5,0,4,5233,0,99.92362039335497,99.92362039335497,0.0,2,3,5232,0,99.94271529501623,99.94269340974212,100.0
439,9821,0,3,9606,83,135,0,83,9741,0,99.15513029315962,99.15513029315962,0.0,0,135,9686,3,98.59527687296416,98.62539456267183,0.0
216,6876,0,1,6570,96,211,0,96,6781,0,98.60404246037517,98.60404246037517,0.0,1,210,6666,0,96.94634288207067,96.9458987783595,100.0
476,2540,0,11,472,972,1107,0,972,1579,0,61.897295178361425,61.897295178361425,0.0,4,1103,1437,7,56.48765190121521,56.5748031496063,36.36363636363637
403,3825,0,0,3812,3,10,0,3,3822,0,99.92156862745098,99.92156862745098,0.0,0,10,3815,0,99.73856209150327,99.73856209150327,0.0
