Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,963,24,12,0,24,975,0,97.5975975975976,97.5975975975976,0.0,0,12,987,0,98.7987987987988,98.7987987987988,0.0
454,1573,6,54,1439,60,134,0,60,1567,6,95.95835884874464,96.31223110018439,0.0,4,130,1449,50,88.97734231475812,91.76694110196327,7.4074074074074066
482,5275,0,48,3796,856,671,0,856,4467,0,83.91884275784332,83.91884275784332,0.0,41,630,4645,7,88.0330640616194,88.05687203791469,85.41666666666666
281,3310,0,27,429,67,2841,0,67,3270,0,97.99220857057237,97.99220857057237,0.0,26,2815,495,1,15.612825891519327,14.954682779456194,96.29629629629629
218,7474,0,3,7406,31,40,0,31,7446,0,99.58539521198342,99.58539521198342,0.0,0,40,7434,3,99.424903035977,99.46481134599946,0.0
444,10475,0,6,10362,59,60,0,59,10422,0,99.43707661482682,99.43707661482682,0.0,6,54,10421,0,99.48478198645168,99.48448687350835,100.0
443,11543,23,220,2737,7350,1699,17,7333,4430,6,37.73120651620567,37.66046076681119,73.91304347826086,141,1558,10008,79,86.11063974206687,86.529482967318,64.0909090909091
485,6738,3,134,2172,438,4265,3,435,6437,0,93.67272727272727,93.66996507566938,100.0,97,4168,2573,37,38.836363636363636,38.16941106660733,72.38805970149254
484,8673,2,18,8461,68,164,0,68,8623,2,99.19475440009204,99.21758140605223,0.0,1,163,8512,17,97.9293684573795,98.12103746397695,5.555555555555555
212,9063,12,48,8296,285,542,12,273,8838,0,97.00756330154555,97.00362199539019,100.0,44,498,8577,4,94.49742409295187,94.51239669421487,91.66666666666666
437,490,0,0,57,375,58,0,375,115,0,23.46938775510204,23.46938775510204,0.0,0,58,432,0,88.16326530612245,88.16326530612245,0.0
219,5109,0,1,5005,35,70,0,35,5075,0,99.31506849315068,99.31506849315068,0.0,0,70,5039,1,98.6105675146771,98.62986885887649,0.0
452,10119,23,380,2434,3754,4334,20,3734,6765,3,64.48393841475006,64.434708067435,86.95652173913044,305,4029,6113,75,60.99600836342901,60.274107671070794,80.26315789473685
401,6982,0,1,6829,83,71,0,83,6900,0,98.81139911212946,98.81139911212946,0.0,1,70,6912,0,98.99756551625376,98.99742194213692,100.0
451,1784,0,1,1412,239,134,0,239,1546,0,86.61064425770309,86.61064425770309,0.0,0,134,1650,1,92.43697478991596,92.48878923766816,0.0
230,5235,0,2,5225,7,5,0,7,5230,0,99.8663356883712,99.8663356883712,0.0,2,3,5232,0,99.94271529501623,99.94269340974212,100.0
439,9821,0,3,9622,76,126,0,76,9748,0,99.22638436482086,99.22638436482086,0.0,0,126,9695,3,98.68688925081433,98.71703492516038,0.0
216,6876,0,1,6542,109,226,0,109,6768,0,98.41500654355096,98.41500654355096,0.0,1,225,6651,0,96.7282245165043,96.72774869109948,100.0
476,2540,0,11,397,1091,1063,0,1091,1460,0,57.23245785966288,57.23245785966288,0.0,4,1059,1481,7,58.2124656997256,58.30708661417323,36.36363636363637
403,3825,0,0,3803,10,12,0,10,3815,0,99.73856209150327,99.73856209150327,0.0,0,12,3813,0,99.68627450980392,99.68627450980392,0.0
