Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,979,3,17,0,3,996,0,99.69969969969969,99.69969969969969,0.0,0,17,982,0,98.2982982982983,98.2982982982983,0.0
454,1573,6,54,1157,136,340,6,130,1497,0,92.03919167176974,92.0098340503995,100.0,54,286,1293,0,82.48622167789344,81.8872704243192,100.0
482,5275,0,48,4757,168,398,0,168,5155,0,96.84388502724028,96.84388502724028,0.0,47,351,4924,1,93.38718767612248,93.34597156398104,97.91666666666666
281,3310,0,27,2089,56,1192,0,56,3281,0,98.32184596943362,98.32184596943362,0.0,27,1165,2145,0,65.08840275696734,64.8036253776435,100.0
218,7474,0,3,7425,13,39,0,13,7464,0,99.82613347599305,99.82613347599305,0.0,3,36,7438,0,99.51852347198073,99.51833021139952,100.0
444,10475,0,6,10362,22,97,0,22,10459,0,99.79009636485068,99.79009636485068,0.0,6,91,10384,0,99.13176223642782,99.13126491646777,100.0
443,11543,23,220,7576,1277,2933,23,1254,10509,0,89.36025793314101,89.33945422086202,100.0,218,2715,8851,2,76.94722552180554,76.52602455472937,99.0909090909091
485,6738,3,134,4608,131,2136,3,128,6744,0,98.1381818181818,98.1373690337602,100.0,134,2002,4739,0,70.88,70.30114226375909,100.0
484,8673,2,18,7604,204,885,2,202,8489,0,97.67629126883699,97.67575652974342,100.0,18,867,7808,0,90.02645806971125,90.00576368876081,100.0
212,9063,12,48,8249,279,595,12,267,8844,0,97.07333114107202,97.06947645702996,100.0,48,547,8528,0,94.00416529650334,93.9724517906336,100.0
437,490,0,0,348,61,81,0,61,429,0,87.55102040816325,87.55102040816325,0.0,0,81,409,0,83.46938775510205,83.46938775510205,0.0
219,5109,0,1,4950,18,142,0,18,5092,0,99.6477495107632,99.6477495107632,0.0,1,141,4968,0,97.24070450097847,97.24016441573693,100.0
452,10119,23,380,4688,1513,4321,23,1490,9009,0,85.83919406956852,85.80817220687685,100.0,379,3942,6200,1,62.52613571564341,61.131926641688025,99.73684210526315
401,6982,0,1,6290,259,434,0,259,6724,0,96.29099241013891,96.29099241013891,0.0,1,433,6549,0,93.79922669339825,93.79833858493268,100.0
451,1784,0,1,1588,88,109,0,88,1697,0,95.07002801120447,95.07002801120447,0.0,1,108,1676,0,93.94957983193277,93.94618834080718,100.0
230,5235,0,2,4619,316,302,0,316,4921,0,93.96601107504297,93.96601107504297,0.0,2,300,4935,0,94.27152950162306,94.26934097421203,100.0
439,9821,0,3,9588,47,189,0,47,9777,0,99.52157980456026,99.52157980456026,0.0,3,186,9635,0,98.10667752442997,98.10609917523674,100.0
216,6876,0,1,6046,284,547,0,284,6593,0,95.87029227860985,95.87029227860985,0.0,1,546,6330,0,92.06049149338375,92.05933682373472,100.0
476,2540,0,11,1718,208,625,0,208,2343,0,91.84633477067817,91.84633477067817,0.0,11,614,1926,0,75.93100744805959,75.82677165354332,100.0
403,3825,0,0,3707,11,107,0,11,3814,0,99.7124183006536,99.7124183006536,0.0,0,107,3718,0,97.20261437908498,97.20261437908498,0.0
