Number,Normal,PAC,PVC,pred_Normal,pred_PAC,pred_PVC,tp_PAC,fp_PAC,tn_PAC,fn_PAC,acc_PAC,sp_PAC,sn_PAC,tp_PVC,fp_PVC,tn_PVC,fn_PVC,acc_PVC,sp_PVC,sn_PVC
211,999,0,0,246,6,747,0,6,993,0,99.3993993993994,99.3993993993994,0.0,0,747,252,0,25.225225225225223,25.225225225225223,0.0
454,1573,6,54,1555,78,0,0,78,1549,6,94.85609308022045,95.20590043023971,0.0,0,0,1579,54,96.69320269442744,100.0,0.0
482,5275,0,48,2989,333,2001,0,333,4990,0,93.74412925042269,93.74412925042269,0.0,13,1988,3287,35,61.99511553635168,62.312796208530806,27.083333333333332
281,3310,0,27,290,239,2808,0,239,3098,0,92.83787833383278,92.83787833383278,0.0,24,2784,526,3,16.48186994306263,15.891238670694863,88.88888888888889
218,7474,0,3,7455,22,0,0,22,7455,0,99.70576434398824,99.70576434398824,0.0,0,0,7474,3,99.9598769559984,100.0,0.0
444,10475,0,6,6572,45,3864,0,45,10436,0,99.5706516553764,99.5706516553764,0.0,1,3863,6612,5,63.09512451101994,63.12171837708831,16.666666666666664
443,11543,23,220,766,628,10392,7,621,11142,16,94.59528253860513,94.72073450650345,30.434782608695656,101,10291,1275,119,11.674868488036653,11.02369012623206,45.909090909090914
485,6738,3,134,481,319,6075,1,318,6554,2,95.34545454545454,95.37252619324796,33.33333333333333,89,5986,755,45,12.276363636363637,11.20011867675419,66.4179104477612
484,8673,2,18,8566,107,20,0,107,8584,2,98.74611756585759,98.76884133011161,0.0,0,20,8655,18,99.56286667433567,99.76945244956772,0.0
212,9063,12,48,8438,343,342,12,331,8780,0,96.37180751945633,96.36702886620569,100.0,0,342,8733,48,95.72509043077935,96.23140495867769,0.0
437,490,0,0,34,28,428,0,28,462,0,94.28571428571428,94.28571428571428,0.0,0,428,62,0,12.653061224489795,12.653061224489795,0.0
219,5109,0,1,5074,36,0,0,36,5074,0,99.29549902152642,99.29549902152642,0.0,0,0,5109,1,99.98043052837573,100.0,0.0
452,10119,23,380,2410,1865,6247,11,1854,8645,12,82.26572894886903,82.34117535003334,47.82608695652174,128,6119,4023,252,39.45067477665843,39.666732399921116,33.68421052631579
401,6982,0,1,6935,37,11,0,37,6946,0,99.47014177287699,99.47014177287699,0.0,0,11,6971,1,99.82815408850064,99.84245201947866,0.0
451,1784,0,1,1719,66,0,0,66,1719,0,96.30252100840336,96.30252100840336,0.0,0,0,1784,1,99.94397759103641,100.0,0.0
230,5235,0,2,5231,6,0,0,6,5231,0,99.88543059003247,99.88543059003247,0.0,0,0,5235,2,99.96181019667749,100.0,0.0
439,9821,0,3,8193,92,1539,0,92,9732,0,99.06351791530945,99.06351791530945,0.0,0,1539,8282,3,84.30374592833876,84.32949801445882,0.0
216,6876,0,1,6731,144,2,0,144,6733,0,97.90606369056275,97.90606369056275,0.0,0,2,6874,1,99.95637632688673,99.97091332169866,0.0
476,2540,0,11,208,122,2221,0,122,2429,0,95.21756174049393,95.21756174049393,0.0,7,2214,326,4,13.053704429635438,12.834645669291339,63.63636363636363
403,3825,0,0,3817,8,0,0,8,3817,0,99.79084967320262,99.79084967320262,0.0,0,0,3825,0,100.0,100.0,0.0
